"year","country","state","city","shape","duration..seconds.","comments"
1966,"us","sd","interior (near)","disk","900","entire episode is too involved to list all details here. Experienced magnetic anomily&#44 also."
1966,"us","ma","hingham","oval","30","Craft came down from clouds and hovered above trees&#44 no sound&#44 covered with large lights&#44 one blinking light underneath&#44 very large cra"
1967,"us","tx","el paso","chevron","900","Flying Lighted Chevron over the night sky."
1967,"us","ca","north hollywood","formation","180","3 bright colored lights comming straight at me..."
1968,"us","ne","overton","oval","180","blue object near offramp on I 80...electro-effects to car"
1968,"us","nv","las vegas","sphere","30","I was sighting in my new telescope I was on Eastern av in LV I turned my telescope in the direction of NNEtoward Nellis AFB it was alm"
1968,"us","ia","silver city (near)","circle","60","Large white light  near Silver City&#44 Iowa."
1958,"us","vt","winooski","oval","300","more on the 1958 &quot;fireball&quot; in Winooski sky in case you didn&#39t recieve the PDF file I sent of the newspaper clippings."
1958,"us","vt","winooski","oval","5400","object hovered&#44 landed then left headed north traveling at 60Kmph&#44 being tracked across USA by several radar sites."
1966,"us","oh","atwater","other","5400","On April 17th &#44 1966&#44 one of the greatest UFO chases occured With police  in NE Ohio and Western PA"
1963,"us","va","alexandria","light","900","4 red lights flying near Mt. Vernon&#44 Va. toward Potomac River&#44 in early evening April 1963 or 1964"
1965,"us","fl","orlando","disk","900","AS A 6TH GRADER I SAW THIS CRAFT HOVER OVER ME&#44 AND MAKE PLANNED AND EVASIVE MANUVERS AND INCREDIBLE SPEED."
1967,"us","ct","stamford","cylinder","1800","At approximately 7:30 P.M. I and my father and some neighbors were out in the street chatting when a large cylindrical object drifted t"
1969,"us","ar","little rock","cylinder","720","Non moving&#44 soundless &#44 tri-cylinder&#44 object that appears and just fades back into sky"
1967,"us","ny","gibson","oval","180","aerodynamics-defying object sighted"
1966,"us","pa","reading","other","300","There is not one doubt in my mind as to what it was that I saw. I am an electronic (Retired) technician and know what I am talking abou"
1967,"us","fl","chattahoochee","light","600","The two objects left two vapor trails with 90 degree turns in them before they simply vanished."
1959,"us","pa","baden","cylinder","900","Report from the past - Orangish saucer shaped with black rotating center"
1965,"us","pa","newtown square","triangle","300","cars stopped&#44 triangular craft on ground&#44 rose up in air&#44  quiet low humming sound&#44 white light on each corner&#44 in seconds it was gone"
1953,"us","pa","jamison","cigar","120","In the spring of 1953 my mother &amp; I saw an IMMENSE silent grey metallic cigar shaped object moving from Doylestown toward Jamison."
1964,"us","fl","miami","other","600","It was 1963-64&#44 I was 8-9 years old. It was just getting dark and we saw a very bright star in the north sky. It then turned into a clo"
1968,"us","ga","gainesville","cigar","2","bright silver cigar shaped object appeared in the air ahead of me when I was teenager driving home after school"
1968,"us","ar","little rock","cylinder","180","Non noise&#44 no reflection&#44 cylindar object"
1968,"us","mi","westland","disk","180","1968 Westland MI&#44 and 1982 US. NAVY sighting&#39s"
1963,"us","fl","vero beach","disk","600","Vero Beach Fla&#44 1960&#39s; low&#44 huge hovering disk over highway shooting colored lights out the back  with illuminated windows."
1967,"us","fl","miami","disk","600","Follow up on the Crestview Elementary sighting. Date was April 7&#44 1967."
1968,"us","oh","columbia station  (rt. 252)","sphere","600","Was stocking a small fish pound&#44 and seen reflection of three SPHERES in triangle form 50&#39foot up. They glittered like a disco ball wit"
1968,"us","wa","walla walla","triangle","1200","The object moved up&#44 down&#44 hovered&#44 then left with extreme speed on a huge trajectory up into space.  We followed it on a surveyor&#39s tr"
1964,"us","ky","pineville","unknown","900","05/10/64 02:00 Little Creek KY      humming noise/house shaking"
1966,"us","ok","tulsa","rectangle","600","V shape object moving in a V shape."
1967,"us","nv","fallon","oval","1200","05/10/1967 23:00 fallon&#44 nevada&#44 glow on horizen&#44 followed by&#44 hovering colored discs&#44 20 minutes"
1966,"us","oh","east liverpool","triangle","600","silver triangle seen early evening by school choir"
1955,"us","ma","holbrook","egg","60","I turned around and over the trees was a large yellow object shaped like a football without the tips on the ends."
1956,"us","oh","canton","cigar","120","At first the silver disc was stationary. As it moved across the sky&#44 it moved so rapidly&#44 it could not have been man made."
1957,"us","oh","canton","cigar","180","Cigar shaped object is motionless for more than a minute&#44 then moves west at incomprhensible speed&#44 then out of sight."
1959,"us","oh","columbus","light","180","Red-orange lights over seen motionless over Lockborne AFB-one vanished and one sped out of sight."
1960,"us","az","tucson","light","300","Lights only&#44 no sound&#44 moving across the night sky&#44 then making a series of perfect right angle turns&#44 like plowing a field."
1961,"us","wa","auburn","cigar","300","Grandmother saw a cigar shaped craft which she said was as long as the valley is wide."
1964,"us","ca","orangevale","light","300","Chased by a single light - Sacramento&#44 CA 1964"
1965,"us","wy","guernsey","sphere","60","Round&#44 silver object hovering overhead&#44 three witnesses"
1965,"us","pa","york county (rural area)","oval","600","Day light sighting of burniched aluminum sauser"
1966,"us","wa","kent","sphere","1200","Boeing testing a flying saucer"
1966,"us","in","michigan city","rectangle","1200","Rectangular ufo&#44 extremely large&#44 dark red&#44 metal shapes visible&#44 no noise&#44 seen on a clear sunny day."
1967,"us","ok","enid","disk","120","Proof in MY MIND&#33&#33&#33"
1967,"us","tn","maryville","cigar","1800","Star dancing UFO"
1968,"us","ia","redfield","cone","30","It was a nice day in may&#44  it stayed directly above the railroad track. I just stood there watching the whole thing."
1969,"us","oh","youngstown","disk","1800","woke one morning and for no good reason went to back door and witness a saucer above trees and below on ground a small saucer a unknow"
1969,"us","ca","san diego  (u. s. naval base)","oval","900","were on lunch break from navy school. saw a small white cloud and then a object caom out of it. then another came out. then flew straig"
1969,"us","md","wheaton","disk","30","large saucer-shaped  object sighted in Wheaton&#44 MD in late 1960&#39s"
1969,"us","sc","estill","cigar","2700","shining object frightens SC family"
1965,"us","ny","massapequa park","oval","5","Fast quiet objects moving in formation with unheard of speed and precision."
1968,"us","in","valparaiso","unknown","109800","1968&#44 Grey Squares in Sky&#44 I&#39ll take you with me cuz you&#39re my friend&#44 9 o&#39clock past bozo circus noon&#44 scary man&#44 doll burning"
1968,"us","in","valparaiso","unknown","109800","68 Grey Squares in Sky&#44 I&#39ll take you with me cuz you&#39re my friend&#44 9 o&#39clock past bozo circus noon&#44 scary man&#44 doll burning"
1968,"us","ne","omaha","disk","1200","Disk-shaped UFO with dome under perfectly clear conditions at less than 100 feet altitude&#44 motionless."
1952,"us","wa","allyn","disk","10800","Close encounter involving physical examination in unknown craft."
1954,"us","or","corvallis (near; small town of alsea)","diamond","120","Disc top&#44 or bottom to our view following&#44 west to east&#44 a 4 engine (prop) maybe a Tri Star (three rudders) About 1/2 way across our vi"
1955,"us","fl","warrington","fireball","300","fireball into pensacola bay"
1959,"us","il","evanston","unknown","1200","Distant craft in the same part of the sky for 3 nights&#44 seen by a group"
1960,"us","in","terre haute","other","300","Light Bar in Clouds UFO"
1962,"us","nj","toms river","disk","180","Round&#44 dark disk shaped object with lights all around it softly whirred by&#44 hovering overhead for a few moments and then moved on."
1962,"us","ok","pittsburg","changing","30","Large&#44 red light&#44 flanked by smaller red lights that appeared to change shape"
1963,"us","ny","new york city (brooklyn)","other","600","SILENT&#44 SUSPENDED WATER TOWER APPEARS OVER HOUSES IN SEA GATE&#44 BROOKLYN&#44 NEW YORK"
1963,"us","md","towson","oval","20","Bright&#44 rapidly moving object moving from east to west that reflected the sun as it made a slight turn to the Southwest."
1964,"us","vt","hardwick","disk","300","3 Saucers seen flying in formation in a southern direction&#44 sighting lasted about 5 minutes by 2 people..."
1964,"us","ar","texarkana (outside city limits)","disk","300","Saw very large flying object resting on ground on country road in middle of clear day."
1964,"us","ca","covina","cigar","300","SLOWLY ROTATING CIGAR SHAPED METALLIC &#44DAYLIGHT LOW ALTITUDE OBJECT"
1965,"us","wa","burlington","disk","300","One morning waiting for the school bus&#44my brothers and cousins noticed a silver disc in the clear sky.It seemed motionless for the firs"
1965,"us","al","gadsden","sphere","45","Blue ball drifted down to within reach&#44 backed away as I reached then shot away after I reached again."
1965,"us","ca","la mesa","disk","120","Sighting in La Mesa&#44CA  &#160;"
1966,"us","hi","nanakuli","disk","360","Flying saucers hovering above our house... I&#39ll remember for the rest of my life&#33"
1966,"us","al","mentone","egg","10","Both objects skirted the top of the ridge&#44 keeping equi-distant with each other; traveling very fast."
1967,"us","wa","kent","disk","480","First it was clear&#44 like glass&#44 than it turned to metal&#44 purple and silver mixing&#44 and than solid silver."
1967,"us","fl","gainesville","triangle","300","An equilateral triangle with a red glowing light on each corner (one each corner--three total. solid sillouette dark shape about the si"
1967,"us","ca","belvedere","teardrop","10","Teardrop outlined in white light with three white circular lights inside other wise dark  interior of tear shape."
1967,"us","ca","palm wells","formation","600","small lighted spheres apparently hovering just above the ground; about a quarter mile away"
1967,"us","la","monroe","light","60","My cousin&#39s husband abd I were night fishing and saw a single light looking like a large star moving across the night sky at a pretty g"
1968,"us","mo","st. louis","oval","300","1968 sighting south st louis county &#44 other people witness .5 min  new 255 and lemay ferry rd"
1968,"us","wi","stevens point","sphere","600","Stationary&#44 metallic sphere with dark central spot seen high in northern sky"
1968,"us","mi","jones","oval","1200","A black disc/oval shaped object was seen going directly up."
1968,"us","ut","provo","sphere","300","fiery yellow-white orb hovered just above the ground in back yard of home just west of I-15 in Provo&#44 Utah"
1969,"us","mo","st. louis","cigar","120","1969 forest park &#44 cigar &#44  brownish gray color     went of to the west"
1969,"us","tx","dallas","light","60","A light came toward us and stopped directly overhead.  It stayed there a couple seconds then shot off very fast.  No noise."
1958,"us","oh","cincinnati","diamond","86400","5/16/1958/ 1500 hours/ just getting dark&#44mount arity forest"
1956,"us","ok","ada","circle","20","This was a result of a prayer or telepathic request.  Seti is a load of crap."
1966,"us","ky","lexington","other","120","The Day I Realized  We Are Not Alone: My First Sighting Of A Space Vehicle"
1958,"us","ca","north hollywood","sphere","604800","I was four years old. i would visit at my grandmothers house. she lived in north hollywood . i was playing in the front yard when a bal"
1962,"us","nj","whitehouse (near)","light","1200","Bright light&#44 &quot;electrical sensation&quot; and missing time."
1966,"us","mi","holly","light","90","No visible craft&#44 very early morning&#44 outside&#44 bright white illumination."
1968,"us","nj","towaco","circle","2400","I&#44 and my wife at the time&#44 saw what appeared to be the center star in a star cluster I believed was big bear move in a half circle and"
1957,"us","ny","rhinebeck","diamond","20","KITE SHAPED OBJECT CHANGED 3 COLORS AND JIGGED UP AND DOWN WHILE FLASHING&#44 VERY&#44 VERY BRIGHT."
1968,"us","ky","morehead","light","300","Silent and fast&#44 the 6 lights in the mountian skies were not normal to any of the 13 witnesses that night in Morehead&#44 KY."
1968,"us","co","delta","sphere","45","Slow moving large red spherical object moving in a upward direction over the town. The object then split into two seperate objects and"
1954,"us","il","quincy (rural)","disk","7","Saucer shaped object with lights and a dome seen near Quincy&#44 Il."
1967,"us","tx","el paso","light","3600","My Dad was a radar specialist."
1959,"us","oh","cincinnati","disk","3600","Large saucer shaped craft hanging motionless and silently over Cincinnati. 500 Lights On Object0: Yes"
1962,"us","tx","garland","disk","600","THE OBJECT APPEARED TO COME DIRECTLY TO MY HOUSE&#44 THEN  LEFT WITH FAST ZIG ZAG SPEED BACK TO SPACE."
1963,"us","ks","emporia","rectangle","60","I have witnessed  many bizarre things in my life beginning at age 4.5&#44  this is not the strangest.  Try India."
1965,"us","ca","shasta lake","disk","3600","silver disk craft  approx 40ft diam. flys over school kids  and teachersouside for school meeting and lands in back of school."
1958,"us","md","palmer park","sphere","1200","I saw a white spherical light zig zaging across the sky leaving a plasma trail at unthinkable speed."
1959,"us","ca","el sobrante","circle","120","Bright&#44 yellow/orange circle&#44 10 ft. in diameter&#44 silent&#44 slow moving&#44 5mph&#44 50 ft. above ground-2 minutes&#44 chased &amp; threw rocks at it."
1964,"us","co","rangely","unknown","900","Introduction"
1965,"us","mo","st. louis county","cigar","600","I was walking to church very early on the morning of May 5&#44 1965.  Cutting across the rear of the adjacent school parking lot&#44 a bright"
1966,"us","md","beltsville","sphere","120","Green sphere speeding across the sky in 1960&#39s"
1958,"us","ca","north hollywood","circle","432000","A visit by a ufo object by a young child in 1958"
1963,"us","ma","lynn","disk","21600","05/07/1965; @3:00am lynn&#44ma essex county usa; two abductees&#44 8 witnesses; two sauces&#44 1 burnt field"
1952,"us","il","chicago (south suburb)","circle","600","My sighting of two objects in Chicago&#44 IL as a pre-teen in the early 50&#39s"
1954,"us","co","estes park","cigar","300","1953  Estes Park&#44 Colorado  cigar shaped craft floating above pine trees on a ranch"
1958,"us","ca","baldwin park","cigar","300","In 1958&#44 an eleven year old girl sees a cigar shaped saucer hovering near her home."
1959,"us","mi","monroe","unknown","1800","Observed three very high flying  objects fly at unusual maneuvers"
1960,"us","pa","philadelphia","sphere","4","SPHERE 3 TIMES MOON SIZE&#44 WITH MOVING COLORS WITH-IN IT"
1961,"us","tx","carrollton","","60","A greenish light lit up the whole area."
1964,"us","co","montrose","light","420","A father and son driving to work saw intense blue light fill valley."
1964,"us","il","chicago","circle","120","Disc shaped orange in color with darker crater shapes with in it"
1966,"us","nc","hickory","disk","1800","DISK SHAPED CRAFT IN SKY"
1966,"us","nc","hickory","disk","300","Bright Light in distance over mountains moves in very quickly&#44 then moves slowly over suburban commercial district (Kmart)."
1967,"us","tx","el paso","light","900","2 objects dock -stay together 10 minutes then seperate in different directions -gain altitude until out of sight"
1968,"us","il","downers grove","disk","300","11:00 am&#44 clear sky&#44 three of us saw a disk-shaped aircraft fly by&#44 about as high up as an airplane would be."
1968,"us","ca","woodland hills","disk","300","Saucer with dome &amp; windows hovering erratically over residential area. Lit by full moon&#44 totally silent&#44 vanished without trace"
1969,"us","or","portland","disk","180","WE WERE CLOSE  ENOUGHT TO THROW ROCKS AT THEM  WE WERE CONCERNED THAT THEY SEEN US I WAS SCARED"
1969,"us","nj","north wildwood","triangle","180","Red Lighted Triangle landing in North Wildwood back bay area"
1969,"us","mi","whitmore lake","light","300","star like object moving in a east to west directions suddenly stops. Watch object for about 30 secounds when a smaller light drops from"
1963,"us","wi","menasha","circle","3600","Bell shaped craft watched us play kick ball."
1966,"us","mi","ypsilanti","disk","180","Hide and Seek  with UFO"
1952,"us","wi","dousman","","10","Silver monkeys that were about 3-4 feet tall."
1953,"us","ca","fresno","","300","i  seem to  be the only one of  my  siblings  to  recall this event.i  do not  understand  why  this  is. 500 Lights On Object0: Ye"
1954,"us","tx","houston","disk","180","I fulfilled my duty by passing on an unusual accourance"
1954,"us","ny","ovid","disk","600","I saw two silver/gray objects of different shapes."
1954,"us","il","springfield (rural area near)","cylinder","600","This happened many years ago when I was a child.  Object&#44 3&#39 long&#44 crystal type cylinder&#44 pinkish color came in fast from the East and"
1954,"us","ca","el cerrito","light","300","It was a Sunday evening and must have been in November of Decemberme to Berkeley because it was dark and I needed to be in Berkeley for"
1954,"us","oh","toledo","disk","60","SEE ABOVE"
1954,"us","pa","philadelphia","disk","2","They Are Our Brothers"
1955,"us","mn","bagley","circle","7200","I was 5 years old at the time&#44 family of 4 told they would remember nothing. I managed to break free of the (mind) control just before"
1955,"us","oh","cincinnati","disk","120","June 1955.  Bronze saucer/cylindrical craft; approx. 3:30 p.m.&#44 no life form sited."
1955,"us","ca","martinez (outskirts)","circle","1800","We observed a large object aprox.size &quot;football field or larger&quot; aproach us 45mph make 90 degree turn. color &quot;red glowing ember&quot;.2000 f"
1955,"us","tn","clinton","egg","360","Egg shaped craft landed on lonly country road&#44 seen by a family of five."
1956,"us","mo","belton","other","600","THE EVENT WAS A PERSONAL CONTACT WITH AN ALIEN. SINCE I WAS ABOUT 6 YEARS OLD AND IT HAS BEEN A LONG TIME FORGIVE ME ANY DESCREPANCIES"
1956,"us","tn","memphis","cylinder","900","Object was glowing dull orange bent cylinder. Hovered noiselessly over RR tracks for a time&#44 then took off straight up."
1957,"us","tx","el paso","disk","7","The UFO did not make any sounds.  The craft&#39s disappearance from the sky was like a blurr."
1957,"us","ny","glens falls","disk","240","there was no mistakeing what i was looking at it was up close and they traveled very slowly"
1957,"us","tx","irving","light","300","tryangle over tx"
1958,"us","nc","middlesex","circle","3600","white glowing lights"
1958,"us","ca","san francisco","oval","120","A low flying huge silver flying saucer positions itself over home in San Francisco in 1958."
1958,"us","ny","new york city (bronx)","oval","10","7 brightly illuminated elliptical discs racing uniformly across the night sky were seen moving NNW to SSE equally spaced apart."
1958,"us","tx","timpson","light","5400","Round lights&#44blMulticolored lights moving in circles on and around reswidence"
1958,"us","ne","grand island","circle","180","Hovering craft 60-75&#39 over roadway"
1959,"us","ct","orange","cylinder","3600","Sighted craft and transport of object to the ground"
1959,"us","oh","sidney","light","300","Saw a bright light shining down.  Pulled over to the side of I75 and watched it about 5 min. before it took off very quickly heading ea"
1959,"us","ne","nelson","cigar","600","this was told to me from the man who seen the object. it was after a softball game in the summer of 1959. he was in the country going h"
1960,"us","wa","seattle","oval","5","OBJECT WAS OVAL IN SHAPE AND HAD MANY LIGHTS ON THE INSIDE PERIMETER. THE COLOR WAS LIGHT GREEN&#44 LIKE THE OLD LUMINOUS WATCHES THAT GLO"
1960,"us","wa","yakima","other","900","Shaped like an old fashioned oil derick-about 100 feet tall-stationary-made of pure light.  We watched it&#44along with two or three other"
1960,"us","ca","palmdale","disk","300","Summer 1960 saucer with flashing lights (antenae?) hovered above Lilac View Street then shot straight up and out of sight."
1960,"us","ca","sacramento","cigar","300","Brother sees ship and occupants...maybe more......."
1960,"us","mi","watervliet","disk","300","3 Saucers seen hovering in daylight; seen clearly enough to see the lights revolving around the middle"
1960,"us","me","vassalboro","oval","7200","Multi experiences with unknown."
1960,"us","ks","great bend","other","120","MISSOURI INVESTIGATORS GROUP Report:  One night I  saw a White cube that glowed like a light bulb."
1960,"us","ut","salt lake city","disk","300","I saw the craft in daylight hoovering over me.  I viewed it for several moments and then it went straight up at an incredible speed&#44 to"
1961,"us","ut","alpine","disk","2700","This sighting was in the early 1960s when I was 14 and had not heard of ufos yet&#44 but watched it with friends for about 45 minutes."
1962,"us","ok","bartlesville","unknown","120","Childhood visitation 1962&#44 possible implant&#44 first sighting 1977.  other sightings of craft on several occasions. 500 Lights On Obj"
1962,"us","pa","ellwood city","disk","60","came down never touched ground had mist like around it&#44 about 1 yard wide wide&#44 hovered off ground right where I was sitting for about"
1962,"us","ca","san francisco","circle","900","My personal UFO sighting"
1962,"us","co","aurora","light","5","object seen moving from one star to another"
1962,"us","il","benton","disk","900","Saucer shaped object in daytime nearly landed next to me.  When my mother ran out to me&#44 it flew away."
1963,"us","fl","cocoa","unknown","900","We are not alone&#44  I swear it before God Almighty."
1963,"us","mo","st. louis county","cigar","300","Cigar shaped craft hovering over swimming pool&#44 March 1963&#44 02:00-03:00&#44 slits along edge of hull of craft"
1963,"us","tx","gonzales","cigar","30","Object was cigar shaped&#44lights along side and exremely fast."
1963,"us","nc","albemarle","disk","1200","outside playling &#44neighbor starting yelling pointing up to the sky &#44 went over to look the woman was scared she ran into her house told"
1963,"us","tx","houston","cigar","300","Cigar shaped UFO over north Houston&#44&#44  before the building of IAH."
1963,"us","ky","kirksey","triangle","60","Triangle shaped UFO seen in daytime in 1963 in rural West Kentucky community"
1963,"us","il","waukegan","formation","900","Group of stationary objects high in afternoon sky with new objects entering group and some leaving"
1963,"us","mi","royal oak","triangle","180","A hovering triangular craft&#44 with moving white lights on the sides and a red light on the bottom."
1963,"us","ca","laguna beach (south)","light","120","USO(s) - Unidentified Submerged Object(s) -- yeh&#33 I know guys&#33 You probably only care about lights in the sky&#33 But hey I&#39m not the only"
1963,"us","ca","rodeo","sphere","300","Blue humming and vibrating sphere in my room"
1963,"us","co","colorado springs (mtns. nw of)","disk","300","UFO hovered and made right angle turns before shooting off at an incredible rate of speed when approached by a jet."
1963,"us","ca","san francisco","disk","259200","San Francisco man&#44 then 22&#44 reported details of 1963 abduction to friend. 500 Lights On Object0: Yes"
1964,"us","tx","haltom city","light","600","Light beam travel across roof-tops...1964."
1964,"us","ok","sallisaw","light","1800","&#39&#39ON ICE PROJECT&#39&#39 - UNDERGROUND CITY&#44 3 ET&#39s - 2 were KIA in CRASH  and 1 ALIVE POW DIED LATER&#44  MILITARY INSTALLATION&#44"
1964,"us","pa","butler","","120","NOT A CRAFT&#44A BEING&#44ALL BLACK&#44PONTED HANDS AND FEET/SAW NO EARS OR NOSE/SLIT FOR MOUTH/VERY SMOOTH TEXTURE/SAW IN WOODS WHILE SLEDRIDIN"
1965,"us","ok","norman","disk","30","Norman&#44 oklahoma. 3 silver discs forming a triangle. 30 seconds. Looked like three nickels. bright silver."
1965,"us","mo","st. louis (just outside of)","sphere","60","silverish SPHERE 1960s St Louis"
1965,"us","nm","deming","disk","21600","Just a large round silver disk and acorn type craft hovering low in around the center of Deming in around 1965."
1965,"us","nh","laconia","cylinder","18000","A large object floated out of the sky&#44 to hover over a cove&#44 emitting a strange orange/green glow&#44  remaining for hours in Laconia NH."
1965,"us","wi","marathon","disk","60","disk 20 ft round  silent  zig zag and hovered  very strange to watch  silver color"
1965,"us","ca","long beach","cylinder","5","At about 4 years of age&#44 I observed a cylinderically shaped object fly over at about 2oclock due west."
1965,"us","ky","scottsville","light","240","Blinding Light Hovered And Flew Over Us"
1965,"us","oh","lakewood","disk","120","UFO sightings in the Cleveland&#44 Ohio area in around 1965."
1965,"us","nv","fallon (chalk mountain)","","900","A faint light at first thought to be telstar (communications satellite) However&#44 light was joint by about 4 others that were pulsating."
1965,"us","fl","miami","oval","7200","i can&#39t remember the exact date&#44summer of 1965&#44my mother&#44sister &amp; i&#44were driving on the mcarthur cswy back to miami from the beach.i wa"
1965,"us","ny","rochester (approching)","sphere","120","My wife and I were driving from Brockport to our home in Rochester&#44 NY in the evening when we spotted three bright discs hovering in th"
1965,"us","ca","san lorenzo","light","600","Two objects rendevous at the moon."
1965,"us","oh","toledo","sphere","3600","We chased a craft emmiting a pure shaft of light   onto back country roads and watched it disappear into the night sky."
1965,"us","pr","san juan (puerto rico)","disk","300","Formation of multiple saucer craft"
1966,"us","mo","gainesville","disk","240","I saw a hovering&#44 silent craft over my home that no one else mentioned&#44 even though they were there&#33"
1966,"us","wa","bellingham","disk","45","When I saw the object it was not moveing&#44 then it went stright down and stoped&#44 then it went up at 45 degree angal  to the left and sto"
1966,"us","il","chicago","disk","300","It hovered straight across from me."
1966,"us","mi","carson city","disk","300","My cousin &amp; I were both 7 and we were behind our grandmother&#39s when we noticed a silver&#44 smooth&#44 shimering disc about 20&quot; wide and 10&quot;"
1966,"us","ne","glenvil","","900","We didn&#39t see anything &#44 but what we heard has never made sense to me."
1966,"us","ca","betteravia","other","30","Playing kickball&#44 I was on home base and looked up to see a UFO that looked like a fireball in the shape of a cigar directly over me."
1966,"us","tx","coyanosa","disk","600","Summer 1966 (or 1968):  Small saucer seen by 3 youth to land and take off in dry creek bed near Coyanosa&#44 Texas."
1966,"us","tx","odessa","other","10","Silvery&#44 football-shaped object rotates then accelerates upward until out of sight."
1966,"us","oh","cambridge","disk","1080","We saw dark disc shaped objects emerge from the bottom of a &quot;ligher than the evening sky&quot;  oblong  light&#44 fly around and reenter."
1966,"us","mo","grandview","triangle","900","Depressed for 40 years from this happening&#8230;"
1966,"us","ny","pleasantville","disk","3600","Never revealed this before. Grounds-- GPL General Percision Labratory. I belive previously it was the Tommy Mansville estate. I believe"
1966,"us","md","district heights","disk","300","Observed UFO Sighting which stopped my moving vehicle on a lonely&#44 tree lined road."
1966,"us","pa","oil city (near)","sphere","1800","3 spheres&#44 3 colors&#44 doing figure eight in sky. Stoped car race. everyone saw&#44 no one remembers ? Has anyone else seen this ?"
1966,"us","pa","conshohocken","disk","600","Gun metal grey disk shaped craft seen at 50-60 ft. above the ground"
1966,"us","mt","billings","light","240","Bright white object over Billings&#44 MT"
1966,"us","mn","international falls","disk","1200","2-UFO&#39s wake three/eight yr. old children at different addresses and took control of our minds&#44 emotions&#44 heart and soul&#33"
1967,"us","sc","edgemoor","disk","120","Myself and 3 friends witnessed a circular shaped craft in the spring of 1967 hovering over a railroad track."
1967,"us","mn","st. paul","disk","240","Fighter Jet chases UFO"
1967,"us","ca","san diego","circle","600","June 1967&#44   2  mirrored  objects appeared miles overhead and  were motionless for about 10 minutes then going straight up and dissappe"
1967,"us","ca","el cerrito","oval","120","My wife and I saw a flying saucer&#44 which was at about 2000 ft. sitting still.  It was oval shape&#44 silver&#44 and looked like something you"
1967,"us","ia","red oak","light","20","Two unidentified extremely bright lights&#44 one large - one smaller&#44 clearly visible on a sunny clear day&#44 moving at incredible speed.."
1967,"us","al","cordova","disk","1200","very large craft&#44 siting dead still in mid air &#44very low and in broad daylight&#44 could see the seams in the metal"
1967,"us","or","myrtle creek","circle","900","10 PM August 1967 sphere observed by multiple witnesses moving along ridgleline 1/2 mile distance  500 Lights On Object0: Yes"
1967,"us","oh","cincinnati","cigar","600","i was a young girl and i know what a blimp looks like and this was NOT a blimp"
1967,"us","wa","sumner","formation","900","5 objects seen over Sumner WA June of 1967. Objects hovered very close to ground and shined lights."
1967,"us","ny","gerry","disk","240","1967 object seen in gerry&#44 new york made no noise as it flew  in the sky."
1967,"us","ca","yucca valley","light","300","6 family members observe bright light for 5 minutes near Yucca Valley&#44 CA 1967"
1967,"us","pa","hyde park","other","60","Was 12 years old&#44walking to buddies home it was dark.all sudden bright lights in the sky.Look like satlight maybe one mile above me.To"
1967,"us","ca","ventura","cigar","600","Sighted light surrounding unknown being and heard sounds as being attempted to look inside home."
1967,"us","id","boise","disk","600","Large Mining UFO mining resourses on Earth"
1967,"us","me","bangor","","600","i was watching the news on WABI-tv&#44bangor&#44maine and they had an interview with a bangor police officer&#44 telling how he went to investig"
1968,"us","ny","binghamton","disk","2700","UFO saucer seen Binghamton&#44 NY&#44 1968-69"
1968,"us","oh","dayton","oval","60","I was 8. I was sleeping in a room with my two brothers.  I woke up. I don&#39t know why&#44 I went to the window and saw a small ufo three fe"
1968,"us","il","chicago","oval","240","What we saw had no wings&#44 tail or struts.  It&#8217;s fuselage was elliptical in shape with a blunted nose and tail."
1968,"us","nv","las vegas","light","600","A vivid orb of light in a completely clear blue&#44 mid-day 1960s Las Vegas sky moved irratically within a small radius above our house."
1968,"us","ar","camden","circle","7200","Orange ball observed by dozens"
1968,"us","pa","corry","fireball","900","Observed pink/orange glowing ball &quot;bouncing&quot; along railroad tracks for length of @ 2 city blocks&#44 then shoot straight up and disappear"
1968,"us","mt","billings","circle","120","Round object with colored lights disappears instantly"
1968,"us","ca","fairfield","cigar","120","There real and this is the proof"
1968,"us","al","gadsden","other","60","It was like nothing I had ever seen before."
1968,"us","sc","columbia","triangle","10","When I was 10&#44 both me and my brother saw a triangular-shaped UFO floating in front of our house."
1968,"us","nj","monmouth junction","light","1209600","Object orbiting Jupiter"
1968,"us","tx","winnie (near)","fireball","120","was returning to Houston from Port Arthur...near Winnie....clear night....cloudless sky....emerged from car....studied sky....a"
1968,"us","oh","zanesville","disk","300","A LARGE UFO SITTING UP ABOVE MY TREE IN MY YARD"
1968,"us","wa","renton","changing","600","A huge orange ball over Lake Hills in Renton WA&#44 that turned into a triangle over Boeing field and disappeared."
1968,"us","nd","minot","cigar","120","in 1968 while standing at gi corner a cigar shaped ship moved above me moving at a speed as that of a zepplin. it had colored lights al"
1968,"us","ca","clovis","cigar","60","Spring 1968: 20+ cigar shaped flying objects over Air Force Base in Fresno&#44 California heading north."
1968,"us","fl","sanford","fireball","240","Large glowing phenomena emitting many colors"
1969,"us","co","boulder","other","300","This object looked like a bright star&#44 zig-zagging&#44 abruptly stopping &amp; then zig-zagging @ a high rate of speed above Boulder&#44 Colorado"
1969,"us","tx","kyle","oval","180","Large lemon shaped object crossed highway 35 .Car died&#44 then object exploded about 1\2 mile away extremely bright white light no noise"
1969,"us","fl","sarasota","light","10","3 gold balls gather&#44 split to 5 and disappear&#33"
1969,"us","il","barrington","sphere","7200","((HOAX??))  shiny light and elecromagnetic energy."
